device,tid,sid,group,id,address,read_address,address_mpxa,address_mpxd,address_width,address_taw,address_tbb,read_address_mpxa,read_address_mpxd,read_address_width,type,len,factor,offset,unit,signed,min,max,persistent,protect,volatile,since,until,description
battery,0x50,0x58,status,iCellPack,,0x1e 0x1f,,,,,,,,,scalar,,0.001,,A,yes,,,,,yes,rev.hw count 60,,"Reading battery current by a shunt resistor. No delay, no calibration compared to battery.gg.ai"
battery,0x50,0x58,status,level,,0x61,,,,,,,,,scalar,,6.6667,,%,,,,,,yes,,,
battery,0x50,0x58,status,leds,0x87,,,,,0.5,,,,,enum,,,,,,,,,,yes,,,
battery,0x50,0x58,status,vChannel01,,0x01,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vChannel02,,0x02,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vChannel03,,0x03,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vChannel04,,0x04,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vChannel05,,0x05,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vChannel06,,0x06,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vChannel07,,0x07,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vChannel08,,0x08,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vChannel09,,0x09,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vChannel10,,0x0a,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
battery,0x50,0x58,status,vChannel11,,0x0b,,,,,,cellMon._channelAddr,cellMon._channelData,16,scalar,,0.001,,V,,,,,,yes,rev.hw enum 60,,
